url,keyword,position,search_volume,cpc,traffic_index,traffic_potential,tix_delta,seo_value,seo_value_potential,seva_delta
https://www.ebay.com/b/Rebecca-Minkoff-Handbags-and-Purses-for-Women/169291/bn_737500,rebecca minkoff handbag,9,8,0,0,1,1,0,0,0
https://www.ebay.com/b/Rebecca-Minkoff-Handbags-and-Purses-for-Women/169291/bn_737500,rebecca minkoff purses,7,8,0,0,1,1,0,0,0
https://www.ebay.com/b/Rebecca-Minkoff-Handbags-and-Purses-for-Women/169291/bn_737500,rebecca minkoff black,42,9,0,0,1,1,0,0,0
https://www.ebay.com/b/Rebecca-Minkoff-Handbags-and-Purses-for-Women/169291/bn_737500,rebeka minkoff,29,9,1.94,0,1,1,0,1.94,194
https://www.ebay.com/b/adidas-Athletic-Shoes-for-Men/15709/bn_57930,adidas athletics shoes,9,10,0,0,2,2,0,0,0
https://www.ebay.com/b/adidas-Athletic-Shoes-for-Men/15709/bn_57930,cheap adidas sportswear,50,10,0,0,1,1,0,0,0
https://www.ebay.com/b/adidas-Athletic-Shoes-for-Men/15709/bn_57930,adidas athletic shoes,5,11,0.04,0,2,2,0,0.08,8
https://www.ebay.com/b/adidas-Athletic-Shoes-for-Men/15709/bn_57930,adidas running shoes,39,450,0.58,0,74,74,0,42.92,4292
https://www.ebay.com/b/adidas-Athletic-Shoes-for-Men/15709/bn_57930,adidas us 6,39,10,0,0,2,2,0,0,0
https://www.ebay.com/b/Car-Truck-Exhaust-Pipes-Tips/33633/bn_573300,pipes exhaust,40,9,0,0,1,1,0,0,0
https://www.ebay.com/b/Car-Truck-Exhaust-Pipes-Tips/33633/bn_573300,exhaust tailpipes,12,10,0,0,2,2,0,0,0
https://www.ebay.com/b/Car-Truck-Engines-Components/33612/bn_560118,engine components,36,20,0,0,3,3,0,0,0
https://www.ebay.com/b/Car-Truck-Engines-Components/33612/bn_560118,parts of engine car,29,10,0,0,2,2,0,0,0
https://www.ebay.com/b/Car-Truck-Engines-Components/33612/bn_560118,parts of a v6 engine,26,10,0,0,2,2,0,0,0
https://www.ebay.com/b/Car-Truck-Engines-Components/33612/bn_560118,parts engines,19,10,0,0,2,2,0,0,0
https://www.ebay.com/b/Car-Truck-Engines-Components/33612/bn_560118,parts car engines,18,44,0,0,7,7,0,0,0
https://www.ebay.com/b/Converse-Shoes-for-Men/93427/bn_62180,white converse mens,7,26,0.71,0,4,4,0,2.84,284
https://www.ebay.com/b/Converse-Shoes-for-Men/93427/bn_62180,converse men,6,67,0.6,1,6,5,0.6,3.6,300
https://www.ebay.com/b/Converse-Shoes-for-Men/93427/bn_62180,converse shoes for men,6,45,0.55,1,4,3,0.55,2.2,165
https://www.ebay.com/b/Converse-Shoes-for-Men/93427/bn_62180,red chuck taylor,48,19,0,0,3,3,0,0,0
https://www.ebay.com/b/Converse-Shoes-for-Men/93427/bn_62180,leather chucks,44,19,0.64,0,2,2,0,1.28,128
https://www.ebay.com/b/Palladium-Bullion/34943/bn_818478,palladium ounce,21,7,0,0,1,1,0,0,0
https://www.ebay.com/b/Nike-Shoes-for-Men/93427/bn_62503,nike shoes for men,9,836,0.73,10,137,127,7.3,100.01,9271
https://www.ebay.com/b/Nike-Shoes-for-Men/93427/bn_62503,nike shoes white,9,434,0.68,5,36,31,3.4,24.48,2108
https://www.ebay.com/b/Nike-Shoes-for-Men/93427/bn_62503,shoes nike air max,9,175,0.69,2,14,12,1.38,9.66,828
https://www.ebay.com/b/Nike-Shoes-for-Men/93427/bn_62503,nike us,8,1522,0.52,8,468,460,4.16,243.36,23920
https://www.ebay.com/b/Nike-Shoes-for-Men/93427/bn_62503,nike shoes sale,8,437,0.46,7,71,64,3.22,32.66,2944
https://www.ebay.com/b/Country-Music-CDs/176984/bn_232177,country music cds,9,18,0.21,0,3,3,0,0.63,63
https://www.ebay.com/b/Country-Music-CDs/176984/bn_232177,country music cds online,7,10,0,0,2,2,0,0,0
https://www.ebay.com/b/Country-Music-CDs/176984/bn_232177,cd country,50,11,0.13,0,1,1,0,0.13,13
https://www.ebay.com/b/Country-Music-CDs/176984/bn_232177,country cd shop,47,10,0.38,0,1,1,0,0.38,38
https://www.ebay.com/b/Country-Music-CDs/176984/bn_232177,the best of country,41,11,0.15,0,2,2,0,0.3,30
https://www.ebay.com/b/Heavy-Equipment-Trailers/95495/bn_1511529,equipment trailers,6,9,0,0,1,1,0,0,0
https://www.ebay.com/b/Heavy-Equipment-Trailers/95495/bn_1511529,heavy equipment trailers,5,9,0,0,1,1,0,0,0
